State,Year,Month,TelehealthType,ServiceType,ServiceCount,RatePer1000Beneficiaries,DataQuality
Idaho,2018,02,Remote patient monitoring,All,0,0.0,
Idaho,2018,02,Store and forward,All,0,0.0,
Illinois,2018,02,Live audio/video,All,819,0.3,
Indiana,2018,02,Live audio/video,All,1595,1.1,
Indiana,2018,02,Other telehealth,All,0,0.0,
Indiana,2018,02,Remote patient monitoring,All,18,0.0,
Indiana,2018,02,Store and forward,All,0,0.0,
Iowa,2018,02,Live audio/video,All,4778,7.0,
Iowa,2018,02,Store and forward,All,0,0.0,
Kansas,2018,02,Live audio/video,All,1810,4.1,
Kansas,2018,02,Other telehealth,All,0,0.0,
Kansas,2018,02,Remote patient monitoring,All,0,0.0,
Kansas,2018,02,Store and forward,All,0,0.0,
Kentucky,2018,02,Live audio/video,All,3447,2.1,
Kentucky,2018,02,Other telehealth,All,0,0.0,
Kentucky,2018,02,Remote patient monitoring,All,0,0.0,
Kentucky,2018,02,Store and forward,All,0,0.0,
Louisiana,2018,02,Live audio/video,All,3581,2.2,
Louisiana,2018,02,Other telehealth,All,0,0.0,
Maine,2018,02,Live audio/video,All,1616,5.9,
Maine,2018,02,Other telehealth,All,0,0.0,
Maine,2018,02,Remote patient monitoring,All,0,0.0,
Maryland,2018,02,Live audio/video,All,2515,1.8,
Maryland,2018,02,Store and forward,All,0,0.0,
Massachusetts,2018,02,Live audio/video,All,353,0.2,
Massachusetts,2018,02,Other telehealth,All,32,0.0,
Massachusetts,2018,02,Remote patient monitoring,All,0,0.0,
Michigan,2018,02,Live audio/video,All,4643,1.8,
Michigan,2018,02,Other telehealth,All,20,0.0,
Michigan,2018,02,Remote patient monitoring,All,0,0.0,
Minnesota,2018,02,Live audio/video,All,5389,4.7,
Mississippi,2018,02,Live audio/video,All,956,1.2,
Missouri,2018,02,Live audio/video,All,4144,3.9,
Missouri,2018,02,Remote patient monitoring,All,14,0.0,
Missouri,2018,02,Store and forward,All,25,0.0,
Montana,2018,02,Live audio/video,All,2267,7.4,
Montana,2018,02,Remote patient monitoring,All,0,0.0,
Nebraska,2018,02,Live audio/video,All,581,2.3,
Nebraska,2018,02,Other telehealth,All,0,0.0,
Nebraska,2018,02,Store and forward,All,0,0.0,
Nevada,2018,02,Live audio/video,All,2321,3.4,
Nevada,2018,02,Other telehealth,All,0,0.0,
Nevada,2018,02,Remote patient monitoring,All,26,0.0,
Nevada,2018,02,Store and forward,All,0,0.0,
New Hampshire,2018,02,Live audio/video,All,211,1.0,
New Hampshire,2018,02,Other telehealth,All,0,0.0,
New Hampshire,2018,02,Remote patient monitoring,All,0,0.0,
New Hampshire,2018,02,Store and forward,All,0,0.0,
New Jersey,2018,02,Live audio/video,All,988,0.5,
New Jersey,2018,02,Remote patient monitoring,All,58,0.0,
New Jersey,2018,02,Store and forward,All,0,0.0,
New Mexico,2018,02,Live audio/video,All,2220,2.6,
New Mexico,2018,02,Other telehealth,All,0,0.0,
New Mexico,2018,02,Remote patient monitoring,All,0,0.0,
New Mexico,2018,02,Store and forward,All,16,0.0,
New York,2018,02,Live audio/video,All,1092,0.2,
New York,2018,02,Other telehealth,All,30,0.0,
New York,2018,02,Remote patient monitoring,All,227,0.0,
New York,2018,02,Store and forward,All,55,0.0,
North Carolina,2018,02,Live audio/video,All,3849,1.7,
North Carolina,2018,02,Other telehealth,All,0,0.0,
North Carolina,2018,02,Store and forward,All,0,0.0,
North Dakota,2018,02,Live audio/video,All,719,7.3,
North Dakota,2018,02,Store and forward,All,0,0.0,
Ohio,2018,02,Live audio/video,All,7759,2.6,
Ohio,2018,02,Remote patient monitoring,All,0,0.0,
Ohio,2018,02,Store and forward,All,0,0.0,
Oklahoma,2018,02,Live audio/video,All,2088,2.5,
Oklahoma,2018,02,Other telehealth,All,24,0.0,
Oklahoma,2018,02,Remote patient monitoring,All,0,0.0,
Oklahoma,2018,02,Store and forward,All,0,0.0,
Oregon,2018,02,Live audio/video,All,4341,4.0,
Oregon,2018,02,Remote patient monitoring,All,0,0.0,
Oregon,2018,02,Store and forward,All,0,0.0,
Pennsylvania,2018,02,Live audio/video,All,3816,1.3,
Pennsylvania,2018,02,Other telehealth,All,0,0.0,
Pennsylvania,2018,02,Store and forward,All,14,0.0,
Puerto Rico,2018,02,Live audio/video,All,102,0.1,
Puerto Rico,2018,02,Other telehealth,All,0,0.0,
Puerto Rico,2018,02,Store and forward,All,0,0.0,
Rhode Island,2018,02,Other telehealth,All,0,0.0,
Rhode Island,2018,02,Remote patient monitoring,All,0,0.0,
Rhode Island,2018,02,Store and forward,All,0,0.0,
South Carolina,2018,02,Live audio/video,All,1261,1.0,
South Carolina,2018,02,Other telehealth,All,0,0.0,
South Carolina,2018,02,Remote patient monitoring,All,0,0.0,
South Carolina,2018,02,Store and forward,All,0,0.0,
South Dakota,2018,02,Live audio/video,All,276,2.2,
South Dakota,2018,02,Remote patient monitoring,All,0,0.0,
South Dakota,2018,02,Store and forward,All,0,0.0,
Tennessee,2018,02,Live audio/video,All,2375,1.4,
Tennessee,2018,02,Remote patient monitoring,All,0,0.0,
Tennessee,2018,02,Store and forward,All,0,0.0,
Texas,2018,02,Live audio/video,All,11171,2.3,
Texas,2018,02,Other telehealth,All,149,0.0,
Texas,2018,02,Remote patient monitoring,All,37,0.0,
Texas,2018,02,Store and forward,All,483,0.1,
Utah,2018,02,Live audio/video,All,124,0.4,Unusable
Utah,2018,02,Other telehealth,All,0,0.0,Unusable
Utah,2018,02,Remote patient monitoring,All,0,0.0,Unusable
Utah,2018,02,Store and forward,All,0,0.0,Unusable
Vermont,2018,02,Live audio/video,All,31,0.2,
Vermont,2018,02,Other telehealth,All,152,0.8,
Vermont,2018,02,Remote patient monitoring,All,0,0.0,
Vermont,2018,02,Store and forward,All,0,0.0,
Virgin Islands,2018,02,Live audio/video,All,0,0.0,
Virgin Islands,2018,02,Other telehealth,All,0,0.0,
Virgin Islands,2018,02,Remote patient monitoring,All,0,0.0,
Virgin Islands,2018,02,Store and forward,All,0,0.0,
Virginia,2018,02,Live audio/video,All,1474,1.2,
Virginia,2018,02,Remote patient monitoring,All,0,0.0,
Washington,2018,02,Live audio/video,All,5553,3.0,
Washington,2018,02,Remote patient monitoring,All,0,0.0,
West Virginia,2018,02,Live audio/video,All,955,1.7,
West Virginia,2018,02,Other telehealth,All,0,0.0,
West Virginia,2018,02,Store and forward,All,0,0.0,
Wisconsin,2018,02,Live audio/video,All,3691,3.2,
Wisconsin,2018,02,Store and forward,All,0,0.0,
Wyoming,2018,02,Live audio/video,All,312,4.5,
Wyoming,2018,02,Other telehealth,All,0,0.0,
Wyoming,2018,02,Store and forward,All,0,0.0,
Alabama,2018,03,Live audio/video,All,2269,1.8,
Alabama,2018,03,Other telehealth,All,0,0.0,
Alabama,2018,03,Store and forward,All,0,0.0,
Alaska,2018,03,Live audio/video,All,1039,4.8,
Alaska,2018,03,Other telehealth,All,0,0.0,
Alaska,2018,03,Store and forward,All,433,2.0,
Arizona,2018,03,Live audio/video,All,56420,29.0,
Arizona,2018,03,Other telehealth,All,0,0.0,
Arizona,2018,03,Store and forward,All,20,0.0,
Arkansas,2018,03,Live audio/video,All,397,0.4,
Arkansas,2018,03,Remote patient monitoring,All,0,0.0,
California,2018,03,Live audio/video,All,28578,2.0,
California,2018,03,Other telehealth,All,47,0.0,
California,2018,03,Remote patient monitoring,All,63,0.0,
California,2018,03,Store and forward,All,1023,0.1,
Colorado,2018,03,Live audio/video,All,344,0.2,
Colorado,2018,03,Store and forward,All,0,0.0,
Connecticut,2018,03,Live audio/video,All,20,0.0,
Connecticut,2018,03,Other telehealth,All,0,0.0,
Delaware,2018,03,Live audio/video,All,1005,4.1,
Delaware,2018,03,Other telehealth,All,0,0.0,
Delaware,2018,03,Remote patient monitoring,All,0,0.0,
Delaware,2018,03,Store and forward,All,0,0.0,
District of Columbia,2018,03,Live audio/video,All,658,2.5,
District of Columbia,2018,03,Other telehealth,All,0,0.0,
District of Columbia,2018,03,Remote patient monitoring,All,0,0.0,
District of Columbia,2018,03,Store and forward,All,0,0.0,
Florida,2018,03,Live audio/video,All,68,0.0,
Florida,2018,03,Other telehealth,All,0,0.0,
Florida,2018,03,Store and forward,All,0,0.0,
Georgia,2018,03,Live audio/video,All,5810,2.7,
Georgia,2018,03,Other telehealth,All,253,0.1,
Georgia,2018,03,Remote patient monitoring,All,0,0.0,
Hawaii,2018,03,Live audio/video,All,840,2.3,
Hawaii,2018,03,Other telehealth,All,0,0.0,
Hawaii,2018,03,Remote patient monitoring,All,0,0.0,
Idaho,2018,03,Live audio/video,All,348,1.1,
Idaho,2018,03,Other telehealth,All,0,0.0,
Idaho,2018,03,Remote patient monitoring,All,0,0.0,
Idaho,2018,03,Store and forward,All,0,0.0,
Illinois,2018,03,Live audio/video,All,876,0.3,
Illinois,2018,03,Other telehealth,All,0,0.0,
Indiana,2018,03,Live audio/video,All,1698,1.1,
Indiana,2018,03,Other telehealth,All,0,0.0,
Indiana,2018,03,Remote patient monitoring,All,16,0.0,
Indiana,2018,03,Store and forward,All,0,0.0,
Iowa,2018,03,Live audio/video,All,4876,7.2,
Iowa,2018,03,Other telehealth,All,11,0.0,
Iowa,2018,03,Store and forward,All,0,0.0,
Kansas,2018,03,Live audio/video,All,1866,4.3,
Kansas,2018,03,Remote patient monitoring,All,0,0.0,
Kansas,2018,03,Store and forward,All,0,0.0,
Kentucky,2018,03,Live audio/video,All,3748,2.3,
Kentucky,2018,03,Other telehealth,All,0,0.0,
Kentucky,2018,03,Store and forward,All,0,0.0,
Louisiana,2018,03,Live audio/video,All,3991,2.4,
Louisiana,2018,03,Other telehealth,All,0,0.0,
Louisiana,2018,03,Remote patient monitoring,All,11,0.0,
Maine,2018,03,Live audio/video,All,2044,7.4,
Maine,2018,03,Remote patient monitoring,All,0,0.0,
Maine,2018,03,Store and forward,All,0,0.0,
Maryland,2018,03,Live audio/video,All,2710,1.9,
Maryland,2018,03,Other telehealth,All,0,0.0,
Maryland,2018,03,Store and forward,All,0,0.0,
Massachusetts,2018,03,Live audio/video,All,401,0.2,
Massachusetts,2018,03,Other telehealth,All,29,0.0,
Massachusetts,2018,03,Remote patient monitoring,All,0,0.0,
Massachusetts,2018,03,Store and forward,All,0,0.0,
Michigan,2018,03,Live audio/video,All,4800,1.9,
Michigan,2018,03,Other telehealth,All,16,0.0,
Minnesota,2018,03,Live audio/video,All,5494,4.8,
Mississippi,2018,03,Live audio/video,All,1057,1.4,
Missouri,2018,03,Live audio/video,All,3837,3.6,
Missouri,2018,03,Other telehealth,All,0,0.0,
Missouri,2018,03,Remote patient monitoring,All,13,0.0,
Missouri,2018,03,Store and forward,All,43,0.0,
Montana,2018,03,Live audio/video,All,2251,7.3,
Montana,2018,03,Other telehealth,All,0,0.0,
Nebraska,2018,03,Live audio/video,All,592,2.3,
Nebraska,2018,03,Other telehealth,All,0,0.0,
Nebraska,2018,03,Remote patient monitoring,All,12,0.0,
Nebraska,2018,03,Store and forward,All,0,0.0,
Nevada,2018,03,Live audio/video,All,2632,3.8,
Nevada,2018,03,Other telehealth,All,0,0.0,
Nevada,2018,03,Remote patient monitoring,All,21,0.0,
Nevada,2018,03,Store and forward,All,0,0.0,
New Hampshire,2018,03,Live audio/video,All,165,0.8,
New Hampshire,2018,03,Other telehealth,All,0,0.0,
New Hampshire,2018,03,Remote patient monitoring,All,0,0.0,
New Hampshire,2018,03,Store and forward,All,0,0.0,
New Jersey,2018,03,Live audio/video,All,950,0.5,
New Jersey,2018,03,Remote patient monitoring,All,67,0.0,
New Jersey,2018,03,Store and forward,All,0,0.0,
New Mexico,2018,03,Live audio/video,All,2537,2.9,
New Mexico,2018,03,Store and forward,All,19,0.0,
New York,2018,03,Live audio/video,All,1222,0.2,
New York,2018,03,Other telehealth,All,34,0.0,
New York,2018,03,Remote patient monitoring,All,283,0.0,
New York,2018,03,Store and forward,All,27,0.0,
North Carolina,2018,03,Live audio/video,All,3948,1.7,
North Carolina,2018,03,Store and forward,All,0,0.0,
North Dakota,2018,03,Live audio/video,All,859,8.7,
North Dakota,2018,03,Store and forward,All,0,0.0,
Ohio,2018,03,Live audio/video,All,7583,2.5,
Oklahoma,2018,03,Live audio/video,All,2331,2.8,
Oklahoma,2018,03,Other telehealth,All,49,0.1,
Oklahoma,2018,03,Remote patient monitoring,All,0,0.0,
Oklahoma,2018,03,Store and forward,All,0,0.0,
Oregon,2018,03,Live audio/video,All,4824,4.4,
Oregon,2018,03,Remote patient monitoring,All,0,0.0,
Oregon,2018,03,Store and forward,All,0,0.0,
Pennsylvania,2018,03,Live audio/video,All,3991,1.3,
Pennsylvania,2018,03,Store and forward,All,13,0.0,
Puerto Rico,2018,03,Live audio/video,All,137,0.1,
Puerto Rico,2018,03,Other telehealth,All,0,0.0,
Puerto Rico,2018,03,Remote patient monitoring,All,0,0.0,
Puerto Rico,2018,03,Store and forward,All,0,0.0,
Rhode Island,2018,03,Other telehealth,All,0,0.0,
Rhode Island,2018,03,Remote patient monitoring,All,0,0.0,
Rhode Island,2018,03,Store and forward,All,0,0.0,
South Carolina,2018,03,Live audio/video,All,1397,1.1,
South Carolina,2018,03,Other telehealth,All,0,0.0,
South Carolina,2018,03,Remote patient monitoring,All,0,0.0,
South Carolina,2018,03,Store and forward,All,0,0.0,
South Dakota,2018,03,Live audio/video,All,243,2.0,
South Dakota,2018,03,Remote patient monitoring,All,0,0.0,
South Dakota,2018,03,Store and forward,All,0,0.0,
Tennessee,2018,03,Live audio/video,All,2405,1.4,
Tennessee,2018,03,Store and forward,All,0,0.0,
Texas,2018,03,Live audio/video,All,11649,2.4,
Texas,2018,03,Other telehealth,All,184,0.0,
Texas,2018,03,Remote patient monitoring,All,79,0.0,
Texas,2018,03,Store and forward,All,550,0.1,
Utah,2018,03,Live audio/video,All,138,0.4,Unusable
Utah,2018,03,Other telehealth,All,0,0.0,Unusable
Utah,2018,03,Remote patient monitoring,All,0,0.0,Unusable
Utah,2018,03,Store and forward,All,0,0.0,Unusable
Vermont,2018,03,Live audio/video,All,95,0.5,
Vermont,2018,03,Other telehealth,All,113,0.6,
Vermont,2018,03,Remote patient monitoring,All,0,0.0,
Vermont,2018,03,Store and forward,All,0,0.0,
Virgin Islands,2018,03,Live audio/video,All,0,0.0,
Virgin Islands,2018,03,Other telehealth,All,0,0.0,
Virgin Islands,2018,03,Remote patient monitoring,All,0,0.0,
Virgin Islands,2018,03,Store and forward,All,0,0.0,
Virginia,2018,03,Live audio/video,All,1754,1.4,
Virginia,2018,03,Remote patient monitoring,All,0,0.0,
Washington,2018,03,Live audio/video,All,7130,3.8,
Washington,2018,03,Remote patient monitoring,All,0,0.0,
Washington,2018,03,Store and forward,All,0,0.0,
West Virginia,2018,03,Live audio/video,All,1400,2.4,
West Virginia,2018,03,Other telehealth,All,0,0.0,
Wisconsin,2018,03,Live audio/video,All,4115,3.6,
Wisconsin,2018,03,Remote patient monitoring,All,0,0.0,
Wisconsin,2018,03,Store and forward,All,0,0.0,
Wyoming,2018,03,Live audio/video,All,394,5.7,
Wyoming,2018,03,Other telehealth,All,0,0.0,
Wyoming,2018,03,Store and forward,All,0,0.0,
Alabama,2018,04,Live audio/video,All,2290,1.8,
Alabama,2018,04,Other telehealth,All,0,0.0,
Alabama,2018,04,Remote patient monitoring,All,0,0.0,
Alabama,2018,04,Store and forward,All,0,0.0,
Alaska,2018,04,Live audio/video,All,977,4.5,
Alaska,2018,04,Other telehealth,All,0,0.0,
Alaska,2018,04,Remote patient monitoring,All,0,0.0,
Alaska,2018,04,Store and forward,All,378,1.8,
Arizona,2018,04,Live audio/video,All,58411,30.1,
Arizona,2018,04,Remote patient monitoring,All,0,0.0,
Arizona,2018,04,Store and forward,All,72,0.0,
Arkansas,2018,04,Live audio/video,All,495,0.5,
Arkansas,2018,04,Other telehealth,All,0,0.0,
Arkansas,2018,04,Remote patient monitoring,All,0,0.0,
Arkansas,2018,04,Store and forward,All,0,0.0,
California,2018,04,Live audio/video,All,28033,1.9,
California,2018,04,Other telehealth,All,95,0.0,
California,2018,04,Remote patient monitoring,All,80,0.0,
California,2018,04,Store and forward,All,1072,0.1,
Colorado,2018,04,Live audio/video,All,343,0.2,
Colorado,2018,04,Store and forward,All,0,0.0,
Connecticut,2018,04,Live audio/video,All,12,0.0,
Connecticut,2018,04,Other telehealth,All,0,0.0,
Delaware,2018,04,Live audio/video,All,1026,4.1,
Delaware,2018,04,Other telehealth,All,0,0.0,
Delaware,2018,04,Remote patient monitoring,All,0,0.0,
Delaware,2018,04,Store and forward,All,0,0.0,
District of Columbia,2018,04,Live audio/video,All,601,2.3,
District of Columbia,2018,04,Other telehealth,All,0,0.0,
District of Columbia,2018,04,Remote patient monitoring,All,0,0.0,
District of Columbia,2018,04,Store and forward,All,0,0.0,
Florida,2018,04,Live audio/video,All,108,0.0,
Florida,2018,04,Other telehealth,All,0,0.0,
Florida,2018,04,Remote patient monitoring,All,0,0.0,
Florida,2018,04,Store and forward,All,0,0.0,
Georgia,2018,04,Live audio/video,All,5615,2.6,
Georgia,2018,04,Other telehealth,All,298,0.1,
Georgia,2018,04,Remote patient monitoring,All,0,0.0,
Hawaii,2018,04,Live audio/video,All,899,2.5,
Hawaii,2018,04,Other telehealth,All,0,0.0,
Hawaii,2018,04,Remote patient monitoring,All,0,0.0,
Idaho,2018,04,Live audio/video,All,389,1.3,
Idaho,2018,04,Other telehealth,All,0,0.0,
Idaho,2018,04,Remote patient monitoring,All,0,0.0,
