State,Year,Month,TelehealthType,ServiceType,ServiceCount,RatePer1000Beneficiaries,DataQuality
New Hampshire,2020,01,Remote patient monitoring,All,0,0.0,
New Hampshire,2020,01,Store and forward,All,0,0.0,
New Jersey,2020,01,Live audio/video,All,1119,0.6,
New Jersey,2020,01,Other telehealth,All,33,0.0,
New Jersey,2020,01,Remote patient monitoring,All,213,0.1,
New Jersey,2020,01,Store and forward,All,12,0.0,
New Mexico,2020,01,Live audio/video,All,4011,4.8,
New Mexico,2020,01,Other telehealth,All,110,0.1,
New Mexico,2020,01,Remote patient monitoring,All,69,0.1,
New Mexico,2020,01,Store and forward,All,25,0.0,
New York,2020,01,Live audio/video,All,4553,0.7,
New York,2020,01,Other telehealth,All,364,0.1,
New York,2020,01,Remote patient monitoring,All,1075,0.2,
New York,2020,01,Store and forward,All,102,0.0,
North Carolina,2020,01,Live audio/video,All,6007,2.6,
North Carolina,2020,01,Remote patient monitoring,All,33,0.0,
North Dakota,2020,01,Live audio/video,All,1302,13.9,
North Dakota,2020,01,Store and forward,All,0,0.0,
Ohio,2020,01,Live audio/video,All,10700,3.8,
Ohio,2020,01,Other telehealth,All,78,0.0,
Ohio,2020,01,Remote patient monitoring,All,88,0.0,
Oklahoma,2020,01,Live audio/video,All,3327,4.0,
Oklahoma,2020,01,Other telehealth,All,132,0.2,
Oklahoma,2020,01,Remote patient monitoring,All,83,0.1,
Oregon,2020,01,Live audio/video,All,8286,7.4,
Oregon,2020,01,Other telehealth,All,39,0.0,
Pennsylvania,2020,01,Live audio/video,All,5697,1.9,
Pennsylvania,2020,01,Other telehealth,All,31,0.0,
Pennsylvania,2020,01,Remote patient monitoring,All,17,0.0,
Pennsylvania,2020,01,Store and forward,All,0,0.0,
Puerto Rico,2020,01,Live audio/video,All,683,0.5,Unusable
Puerto Rico,2020,01,Remote patient monitoring,All,925,0.7,Unusable
Puerto Rico,2020,01,Store and forward,All,0,0.0,Unusable
Rhode Island,2020,01,Live audio/video,All,55,0.2,
Rhode Island,2020,01,Other telehealth,All,0,0.0,
Rhode Island,2020,01,Remote patient monitoring,All,0,0.0,
South Carolina,2020,01,Live audio/video,All,2706,2.1,
South Carolina,2020,01,Other telehealth,All,0,0.0,
South Dakota,2020,01,Live audio/video,All,552,4.6,
South Dakota,2020,01,Other telehealth,All,13,0.1,
South Dakota,2020,01,Remote patient monitoring,All,0,0.0,
South Dakota,2020,01,Store and forward,All,0,0.0,
Tennessee,2020,01,Live audio/video,All,4630,2.0,
Tennessee,2020,01,Other telehealth,All,16,0.0,
Tennessee,2020,01,Remote patient monitoring,All,49,0.0,
Texas,2020,01,Live audio/video,All,18516,4.0,
Texas,2020,01,Other telehealth,All,10537,2.3,
Texas,2020,01,Remote patient monitoring,All,565,0.1,
Texas,2020,01,Store and forward,All,12,0.0,
Utah,2020,01,Live audio/video,All,207,0.7,Unusable
Utah,2020,01,Remote patient monitoring,All,0,0.0,Unusable
Utah,2020,01,Store and forward,All,0,0.0,Unusable
Vermont,2020,01,Live audio/video,All,196,1.2,
Vermont,2020,01,Other telehealth,All,171,1.0,
Vermont,2020,01,Remote patient monitoring,All,0,0.0,
Vermont,2020,01,Store and forward,All,0,0.0,
Virgin Islands,2020,01,Live audio/video,All,0,0.0,Unusable
Virgin Islands,2020,01,Other telehealth,All,0,0.0,Unusable
Virgin Islands,2020,01,Remote patient monitoring,All,0,0.0,Unusable
Virgin Islands,2020,01,Store and forward,All,0,0.0,Unusable
Virginia,2020,01,Live audio/video,All,4811,3.0,
Virginia,2020,01,Other telehealth,All,35,0.0,
Washington,2020,01,Live audio/video,All,10410,5.7,
Washington,2020,01,Other telehealth,All,63,0.0,
Washington,2020,01,Remote patient monitoring,All,93,0.1,
Washington,2020,01,Store and forward,All,190,0.1,
West Virginia,2020,01,Live audio/video,All,3858,7.0,
West Virginia,2020,01,Remote patient monitoring,All,24,0.0,
West Virginia,2020,01,Store and forward,All,26,0.0,
Wisconsin,2020,01,Live audio/video,All,4969,4.3,
Wisconsin,2020,01,Other telehealth,All,31,0.0,
Wisconsin,2020,01,Store and forward,All,0,0.0,
Wyoming,2020,01,Live audio/video,All,628,9.5,
Wyoming,2020,01,Remote patient monitoring,All,0,0.0,
Wyoming,2020,01,Store and forward,All,0,0.0,
Alabama,2020,02,Live audio/video,All,2395,2.0,
Alabama,2020,02,Remote patient monitoring,All,90,0.1,
Alaska,2020,02,Live audio/video,All,1716,7.4,
Alaska,2020,02,Other telehealth,All,0,0.0,
Alaska,2020,02,Store and forward,All,536,2.3,
Arizona,2020,02,Live audio/video,All,117255,60.4,
Arizona,2020,02,Other telehealth,All,11,0.0,
Arizona,2020,02,Remote patient monitoring,All,77,0.0,
Arkansas,2020,02,Live audio/video,All,3798,4.0,
Arkansas,2020,02,Other telehealth,All,25,0.0,
Arkansas,2020,02,Remote patient monitoring,All,17,0.0,
California,2020,02,Live audio/video,All,71448,5.3,
California,2020,02,Other telehealth,All,476,0.0,
California,2020,02,Remote patient monitoring,All,549,0.0,
California,2020,02,Store and forward,All,4230,0.3,
Colorado,2020,02,Live audio/video,All,3917,3.0,
Colorado,2020,02,Remote patient monitoring,All,105,0.1,
Connecticut,2020,02,Live audio/video,All,353,0.4,
Connecticut,2020,02,Remote patient monitoring,All,359,0.4,
Delaware,2020,02,Live audio/video,All,1317,5.3,
Delaware,2020,02,Remote patient monitoring,All,11,0.0,
Delaware,2020,02,Store and forward,All,0,0.0,
District of Columbia,2020,02,Live audio/video,All,1548,6.1,
District of Columbia,2020,02,Remote patient monitoring,All,0,0.0,
Florida,2020,02,Live audio/video,All,13219,2.9,
Florida,2020,02,Other telehealth,All,15,0.0,
Florida,2020,02,Remote patient monitoring,All,322,0.1,
Florida,2020,02,Store and forward,All,18,0.0,
Georgia,2020,02,Live audio/video,All,8577,3.9,
Georgia,2020,02,Other telehealth,All,259,0.1,
Georgia,2020,02,Remote patient monitoring,All,84,0.0,
Hawaii,2020,02,Live audio/video,All,1002,2.9,
Hawaii,2020,02,Other telehealth,All,0,0.0,
Hawaii,2020,02,Remote patient monitoring,All,20,0.1,
Hawaii,2020,02,Store and forward,All,16,0.0,
Idaho,2020,02,Live audio/video,All,921,2.6,
Idaho,2020,02,Remote patient monitoring,All,0,0.0,
Idaho,2020,02,Store and forward,All,0,0.0,
Illinois,2020,02,Live audio/video,All,2058,0.7,
Illinois,2020,02,Other telehealth,All,15,0.0,
Illinois,2020,02,Remote patient monitoring,All,14,0.0,
Indiana,2020,02,Live audio/video,All,4951,3.3,
Indiana,2020,02,Other telehealth,All,0,0.0,
Iowa,2020,02,Live audio/video,All,4718,6.7,
Iowa,2020,02,Remote patient monitoring,All,25,0.0,
Iowa,2020,02,Store and forward,All,0,0.0,
Kansas,2020,02,Live audio/video,All,4904,11.8,
Kansas,2020,02,Store and forward,All,0,0.0,
Kentucky,2020,02,Live audio/video,All,9935,6.4,
Kentucky,2020,02,Other telehealth,All,14,0.0,
Kentucky,2020,02,Remote patient monitoring,All,15,0.0,
Kentucky,2020,02,Store and forward,All,0,0.0,
Louisiana,2020,02,Live audio/video,All,4416,2.7,
Louisiana,2020,02,Remote patient monitoring,All,135,0.1,
Maine,2020,02,Live audio/video,All,2792,9.0,Unusable
Maine,2020,02,Remote patient monitoring,All,21,0.1,Unusable
Maine,2020,02,Store and forward,All,0,0.0,Unusable
Maryland,2020,02,Live audio/video,All,7340,5.2,
Maryland,2020,02,Other telehealth,All,18,0.0,
Maryland,2020,02,Remote patient monitoring,All,227,0.2,
Maryland,2020,02,Store and forward,All,0,0.0,
Massachusetts,2020,02,Live audio/video,All,1800,1.0,
Massachusetts,2020,02,Other telehealth,All,59,0.0,
Massachusetts,2020,02,Remote patient monitoring,All,17,0.0,
Michigan,2020,02,Live audio/video,All,7917,3.2,
Michigan,2020,02,Other telehealth,All,123,0.0,
Michigan,2020,02,Remote patient monitoring,All,42,0.0,
Minnesota,2020,02,Live audio/video,All,8633,8.1,
Minnesota,2020,02,Other telehealth,All,646,0.6,
Minnesota,2020,02,Store and forward,All,29,0.0,
Mississippi,2020,02,Live audio/video,All,1904,2.6,
Mississippi,2020,02,Other telehealth,All,35,0.0,
Missouri,2020,02,Live audio/video,All,20166,21.2,
Missouri,2020,02,Remote patient monitoring,All,40,0.0,
Missouri,2020,02,Store and forward,All,18,0.0,
Montana,2020,02,Live audio/video,All,2720,10.4,
Montana,2020,02,Remote patient monitoring,All,0,0.0,
Nebraska,2020,02,Live audio/video,All,779,3.1,
Nebraska,2020,02,Remote patient monitoring,All,19,0.1,
Nebraska,2020,02,Store and forward,All,0,0.0,
Nevada,2020,02,Live audio/video,All,2962,4.4,
Nevada,2020,02,Remote patient monitoring,All,150,0.2,
Nevada,2020,02,Store and forward,All,0,0.0,
New Hampshire,2020,02,Live audio/video,All,548,2.7,
New Hampshire,2020,02,Remote patient monitoring,All,0,0.0,
New Hampshire,2020,02,Store and forward,All,0,0.0,
New Jersey,2020,02,Live audio/video,All,1227,0.7,
New Jersey,2020,02,Other telehealth,All,35,0.0,
New Jersey,2020,02,Remote patient monitoring,All,267,0.2,
New Mexico,2020,02,Live audio/video,All,3933,4.7,
New Mexico,2020,02,Other telehealth,All,106,0.1,
New Mexico,2020,02,Remote patient monitoring,All,63,0.1,
New Mexico,2020,02,Store and forward,All,13,0.0,
New York,2020,02,Live audio/video,All,4806,0.7,
New York,2020,02,Other telehealth,All,291,0.0,
New York,2020,02,Remote patient monitoring,All,971,0.1,
New York,2020,02,Store and forward,All,93,0.0,
North Carolina,2020,02,Live audio/video,All,5269,2.3,
North Carolina,2020,02,Remote patient monitoring,All,30,0.0,
North Dakota,2020,02,Live audio/video,All,1123,12.0,
North Dakota,2020,02,Store and forward,All,0,0.0,
Ohio,2020,02,Live audio/video,All,9592,3.4,
Ohio,2020,02,Other telehealth,All,84,0.0,
Ohio,2020,02,Remote patient monitoring,All,88,0.0,
Oklahoma,2020,02,Live audio/video,All,3070,3.7,
Oklahoma,2020,02,Other telehealth,All,99,0.1,
Oklahoma,2020,02,Remote patient monitoring,All,48,0.1,
Oklahoma,2020,02,Store and forward,All,12,0.0,
Oregon,2020,02,Live audio/video,All,8236,7.3,
Oregon,2020,02,Other telehealth,All,40,0.0,
Oregon,2020,02,Remote patient monitoring,All,41,0.0,
Pennsylvania,2020,02,Live audio/video,All,5350,1.8,
Pennsylvania,2020,02,Other telehealth,All,32,0.0,
Pennsylvania,2020,02,Remote patient monitoring,All,21,0.0,
Puerto Rico,2020,02,Live audio/video,All,973,0.8,
Puerto Rico,2020,02,Other telehealth,All,22,0.0,
Puerto Rico,2020,02,Remote patient monitoring,All,836,0.7,
Rhode Island,2020,02,Live audio/video,All,66,0.2,
Rhode Island,2020,02,Remote patient monitoring,All,0,0.0,
South Carolina,2020,02,Live audio/video,All,2657,2.1,
South Carolina,2020,02,Other telehealth,All,0,0.0,
South Carolina,2020,02,Remote patient monitoring,All,0,0.0,
South Dakota,2020,02,Live audio/video,All,481,4.0,
South Dakota,2020,02,Other telehealth,All,19,0.2,
South Dakota,2020,02,Remote patient monitoring,All,0,0.0,
South Dakota,2020,02,Store and forward,All,0,0.0,
Tennessee,2020,02,Live audio/video,All,4505,2.0,
Tennessee,2020,02,Other telehealth,All,18,0.0,
Tennessee,2020,02,Remote patient monitoring,All,50,0.0,
Texas,2020,02,Live audio/video,All,17578,3.6,
Texas,2020,02,Other telehealth,All,11666,2.4,
Texas,2020,02,Remote patient monitoring,All,582,0.1,
Texas,2020,02,Store and forward,All,19,0.0,
Utah,2020,02,Live audio/video,All,250,0.8,Unusable
Utah,2020,02,Remote patient monitoring,All,0,0.0,Unusable
Utah,2020,02,Store and forward,All,0,0.0,Unusable
Vermont,2020,02,Live audio/video,All,197,1.2,
Vermont,2020,02,Other telehealth,All,119,0.7,
Vermont,2020,02,Remote patient monitoring,All,0,0.0,
Virgin Islands,2020,02,Other telehealth,All,0,0.0,
Virgin Islands,2020,02,Remote patient monitoring,All,0,0.0,
Virgin Islands,2020,02,Store and forward,All,0,0.0,
Virginia,2020,02,Live audio/video,All,4489,2.8,
Virginia,2020,02,Other telehealth,All,59,0.0,
Washington,2020,02,Live audio/video,All,9160,5.0,
Washington,2020,02,Other telehealth,All,77,0.0,
Washington,2020,02,Remote patient monitoring,All,59,0.0,
Washington,2020,02,Store and forward,All,105,0.1,
West Virginia,2020,02,Live audio/video,All,3040,5.5,
West Virginia,2020,02,Remote patient monitoring,All,22,0.0,
West Virginia,2020,02,Store and forward,All,25,0.0,
Wisconsin,2020,02,Live audio/video,All,4909,4.3,
Wisconsin,2020,02,Other telehealth,All,52,0.0,
Wyoming,2020,02,Live audio/video,All,522,7.9,
Wyoming,2020,02,Remote patient monitoring,All,0,0.0,
Wyoming,2020,02,Store and forward,All,0,0.0,
Alabama,2020,03,Live audio/video,All,33640,28.5,
Alabama,2020,03,Other telehealth,All,126,0.1,
Alabama,2020,03,Remote patient monitoring,All,102,0.1,
Alabama,2020,03,Store and forward,All,40,0.0,
Alaska,2020,03,Live audio/video,All,11959,51.2,
Alaska,2020,03,Other telehealth,All,82,0.4,
Alaska,2020,03,Store and forward,All,514,2.2,
Arizona,2020,03,Live audio/video,All,244174,125.5,
Arizona,2020,03,Other telehealth,All,246,0.1,
Arizona,2020,03,Remote patient monitoring,All,124,0.1,
Arizona,2020,03,Store and forward,All,547,0.3,
Arkansas,2020,03,Live audio/video,All,34117,35.9,
Arkansas,2020,03,Other telehealth,All,372,0.4,
Arkansas,2020,03,Remote patient monitoring,All,13,0.0,
Arkansas,2020,03,Store and forward,All,45,0.0,
California,2020,03,Live audio/video,All,504586,37.5,
California,2020,03,Other telehealth,All,11513,0.9,
California,2020,03,Remote patient monitoring,All,1052,0.1,
California,2020,03,Store and forward,All,6811,0.5,
Colorado,2020,03,Live audio/video,All,79053,60.8,
Colorado,2020,03,Other telehealth,All,233,0.2,
Colorado,2020,03,Remote patient monitoring,All,155,0.1,
Colorado,2020,03,Store and forward,All,320,0.2,
Connecticut,2020,03,Live audio/video,All,92099,92.8,
Connecticut,2020,03,Other telehealth,All,1016,1.0,
Connecticut,2020,03,Remote patient monitoring,All,200,0.2,
Connecticut,2020,03,Store and forward,All,294,0.3,
Delaware,2020,03,Live audio/video,All,13213,52.9,
Delaware,2020,03,Other telehealth,All,74,0.3,
Delaware,2020,03,Remote patient monitoring,All,39,0.2,
Delaware,2020,03,Store and forward,All,672,2.7,
District of Columbia,2020,03,Live audio/video,All,23439,91.7,
District of Columbia,2020,03,Store and forward,All,24,0.1,
Florida,2020,03,Live audio/video,All,119934,26.6,
Florida,2020,03,Other telehealth,All,454,0.1,
Florida,2020,03,Remote patient monitoring,All,290,0.1,
Florida,2020,03,Store and forward,All,968,0.2,
Georgia,2020,03,Live audio/video,All,78181,35.8,
Georgia,2020,03,Other telehealth,All,566,0.3,
Georgia,2020,03,Remote patient monitoring,All,115,0.1,
Georgia,2020,03,Store and forward,All,226,0.1,
Hawaii,2020,03,Live audio/video,All,6573,19.0,
Hawaii,2020,03,Other telehealth,All,77,0.2,
Hawaii,2020,03,Remote patient monitoring,All,38,0.1,
Hawaii,2020,03,Store and forward,All,60,0.2,
Idaho,2020,03,Live audio/video,All,14216,40.1,
Idaho,2020,03,Other telehealth,All,83,0.2,
Idaho,2020,03,Remote patient monitoring,All,0,0.0,
Idaho,2020,03,Store and forward,All,20,0.1,
Illinois,2020,03,Live audio/video,All,50862,17.2,
Illinois,2020,03,Other telehealth,All,1492,0.5,
Illinois,2020,03,Remote patient monitoring,All,14,0.0,
Illinois,2020,03,Store and forward,All,172,0.1,
Indiana,2020,03,Live audio/video,All,93042,60.2,
Indiana,2020,03,Other telehealth,All,1066,0.7,
Indiana,2020,03,Store and forward,All,80,0.1,
Iowa,2020,03,Live audio/video,All,33268,47.2,
Iowa,2020,03,Other telehealth,All,184,0.3,
Iowa,2020,03,Remote patient monitoring,All,28,0.0,
Iowa,2020,03,Store and forward,All,24,0.0,
Kansas,2020,03,Live audio/video,All,25864,61.9,
Kansas,2020,03,Other telehealth,All,51,0.1,
Kansas,2020,03,Remote patient monitoring,All,0,0.0,
Kansas,2020,03,Store and forward,All,25,0.1,
Kentucky,2020,03,Live audio/video,All,84609,54.2,
Kentucky,2020,03,Other telehealth,All,2496,1.6,
Kentucky,2020,03,Remote patient monitoring,All,31,0.0,
Kentucky,2020,03,Store and forward,All,96,0.1,
Louisiana,2020,03,Live audio/video,All,101658,62.0,
Louisiana,2020,03,Other telehealth,All,224,0.1,
Louisiana,2020,03,Remote patient monitoring,All,154,0.1,
Louisiana,2020,03,Store and forward,All,264,0.2,
Maine,2020,03,Live audio/video,All,38767,117.4,Unusable
Maine,2020,03,Other telehealth,All,534,1.6,Unusable
Maine,2020,03,Remote patient monitoring,All,19,0.1,Unusable
Maine,2020,03,Store and forward,All,40,0.1,Unusable
Maryland,2020,03,Live audio/video,All,88412,61.9,
Maryland,2020,03,Other telehealth,All,943,0.7,
Maryland,2020,03,Remote patient monitoring,All,301,0.2,
Maryland,2020,03,Store and forward,All,80,0.1,
Massachusetts,2020,03,Live audio/video,All,220241,118.8,
Massachusetts,2020,03,Other telehealth,All,1849,1.0,
Massachusetts,2020,03,Remote patient monitoring,All,26,0.0,
Massachusetts,2020,03,Store and forward,All,733,0.4,
Michigan,2020,03,Live audio/video,All,162758,65.0,
Michigan,2020,03,Other telehealth,All,2302,0.9,
Michigan,2020,03,Remote patient monitoring,All,79,0.0,
Michigan,2020,03,Store and forward,All,220,0.1,
Minnesota,2020,03,Live audio/video,All,97031,90.3,
Minnesota,2020,03,Other telehealth,All,1794,1.7,
Minnesota,2020,03,Store and forward,All,214,0.2,
Mississippi,2020,03,Live audio/video,All,29836,40.6,
Mississippi,2020,03,Other telehealth,All,1431,1.9,
Mississippi,2020,03,Remote patient monitoring,All,16,0.0,
Mississippi,2020,03,Store and forward,All,258,0.4,
Missouri,2020,03,Live audio/video,All,57148,59.3,
Missouri,2020,03,Other telehealth,All,671,0.7,
Missouri,2020,03,Remote patient monitoring,All,27,0.0,
Missouri,2020,03,Store and forward,All,281,0.3,
Montana,2020,03,Live audio/video,All,21570,83.6,
Montana,2020,03,Other telehealth,All,87,0.3,
Montana,2020,03,Remote patient monitoring,All,0,0.0,
Montana,2020,03,Store and forward,All,25,0.1,
Nebraska,2020,03,Live audio/video,All,11232,44.2,
Nebraska,2020,03,Other telehealth,All,231,0.9,
Nebraska,2020,03,Remote patient monitoring,All,35,0.1,
Nebraska,2020,03,Store and forward,All,69,0.3,
Nevada,2020,03,Live audio/video,All,26878,39.6,
Nevada,2020,03,Other telehealth,All,97,0.1,
Nevada,2020,03,Remote patient monitoring,All,144,0.2,
Nevada,2020,03,Store and forward,All,140,0.2,
New Hampshire,2020,03,Live audio/video,All,23824,117.6,
New Hampshire,2020,03,Other telehealth,All,76,0.4,
New Hampshire,2020,03,Remote patient monitoring,All,0,0.0,
New Hampshire,2020,03,Store and forward,All,38,0.2,
New Jersey,2020,03,Live audio/video,All,68262,39.2,
New Jersey,2020,03,Other telehealth,All,1549,0.9,
New Jersey,2020,03,Remote patient monitoring,All,329,0.2,
New Jersey,2020,03,Store and forward,All,432,0.2,
New Mexico,2020,03,Live audio/video,All,35909,42.8,
New Mexico,2020,03,Other telehealth,All,832,1.0,
New Mexico,2020,03,Remote patient monitoring,All,61,0.1,
New Mexico,2020,03,Store and forward,All,273,0.3,
New York,2020,03,Live audio/video,All,238793,36.8,
New York,2020,03,Other telehealth,All,2705,0.4,
New York,2020,03,Remote patient monitoring,All,1028,0.2,
New York,2020,03,Store and forward,All,4781,0.7,
North Carolina,2020,03,Live audio/video,All,56819,24.9,
North Carolina,2020,03,Other telehealth,All,3063,1.3,
North Carolina,2020,03,Remote patient monitoring,All,33,0.0,
North Carolina,2020,03,Store and forward,All,54,0.0,
North Dakota,2020,03,Live audio/video,All,4053,43.3,
North Dakota,2020,03,Store and forward,All,34,0.4,
Ohio,2020,03,Live audio/video,All,190988,68.0,
Ohio,2020,03,Other telehealth,All,2533,0.9,
Ohio,2020,03,Remote patient monitoring,All,121,0.0,
Ohio,2020,03,Store and forward,All,381,0.1,
Oklahoma,2020,03,Live audio/video,All,46268,54.4,
Oklahoma,2020,03,Other telehealth,All,584,0.7,
Oklahoma,2020,03,Remote patient monitoring,All,76,0.1,
Oklahoma,2020,03,Store and forward,All,75,0.1,
Oregon,2020,03,Live audio/video,All,88464,78.5,
Oregon,2020,03,Other telehealth,All,1666,1.5,
Oregon,2020,03,Remote patient monitoring,All,74,0.1,
Oregon,2020,03,Store and forward,All,138,0.1,
Pennsylvania,2020,03,Live audio/video,All,64699,22.0,
Pennsylvania,2020,03,Other telehealth,All,8467,2.9,
Pennsylvania,2020,03,Remote patient monitoring,All,21,0.0,
Pennsylvania,2020,03,Store and forward,All,144,0.0,
Puerto Rico,2020,03,Live audio/video,All,29511,23.9,
Puerto Rico,2020,03,Other telehealth,All,6350,5.1,
Puerto Rico,2020,03,Remote patient monitoring,All,886,0.7,
Puerto Rico,2020,03,Store and forward,All,110,0.1,
Rhode Island,2020,03,Live audio/video,All,14177,43.5,
Rhode Island,2020,03,Other telehealth,All,143,0.4,
Rhode Island,2020,03,Remote patient monitoring,All,0,0.0,
Rhode Island,2020,03,Store and forward,All,562,1.7,
South Carolina,2020,03,Live audio/video,All,24765,19.5,
South Carolina,2020,03,Other telehealth,All,340,0.3,
South Carolina,2020,03,Store and forward,All,45,0.0,
South Dakota,2020,03,Live audio/video,All,2583,21.5,
South Dakota,2020,03,Other telehealth,All,60,0.5,
South Dakota,2020,03,Remote patient monitoring,All,0,0.0,
Tennessee,2020,03,Live audio/video,All,55046,25.2,
Tennessee,2020,03,Other telehealth,All,511,0.2,
Tennessee,2020,03,Remote patient monitoring,All,129,0.1,
Tennessee,2020,03,Store and forward,All,160,0.1,
Texas,2020,03,Live audio/video,All,162388,32.9,
Texas,2020,03,Other telehealth,All,17633,3.6,
Texas,2020,03,Remote patient monitoring,All,673,0.1,
Texas,2020,03,Store and forward,All,1004,0.2,
Utah,2020,03,Live audio/video,All,8939,28.0,Unusable
Utah,2020,03,Other telehealth,All,23,0.1,Unusable
Vermont,2020,03,Live audio/video,All,3586,21.4,
Vermont,2020,03,Other telehealth,All,708,4.2,
Vermont,2020,03,Remote patient monitoring,All,0,0.0,
Vermont,2020,03,Store and forward,All,19,0.1,
Virgin Islands,2020,03,Live audio/video,All,270,8.7,
Virgin Islands,2020,03,Other telehealth,All,0,0.0,
Virgin Islands,2020,03,Remote patient monitoring,All,0,0.0,
Virginia,2020,03,Live audio/video,All,40745,25.6,
Virginia,2020,03,Other telehealth,All,671,0.4,
Virginia,2020,03,Store and forward,All,1979,1.2,
Washington,2020,03,Live audio/video,All,83525,45.7,
Washington,2020,03,Other telehealth,All,1884,1.0,
Washington,2020,03,Remote patient monitoring,All,117,0.1,
Washington,2020,03,Store and forward,All,249,0.1,
West Virginia,2020,03,Live audio/video,All,23684,43.2,
West Virginia,2020,03,Other telehealth,All,309,0.6,
West Virginia,2020,03,Remote patient monitoring,All,25,0.0,
West Virginia,2020,03,Store and forward,All,118,0.2,
Wisconsin,2020,03,Live audio/video,All,46063,40.0,
Wisconsin,2020,03,Other telehealth,All,710,0.6,
Wisconsin,2020,03,Store and forward,All,14,0.0,
Wyoming,2020,03,Live audio/video,All,3948,60.0,
Wyoming,2020,03,Other telehealth,All,70,1.1,
Wyoming,2020,03,Remote patient monitoring,All,0,0.0,
